We removed the tile from the bathroom and installed wood, since the _ was so ugly.	tile	wood	tile	agree	If X is uglier than Y, then X will be removed and Y will be installed.
Jason excelled at the violin lessons while Logan struggled, because _ had a gift for music.	Jason	Logan	Jason	agree	If X has a gift, then X will excel at music compared to Y.
He found it difficult to build with wood, but easy with metal, because he found the _ to be confusing.	wood	metal	wood	agree	If X is confusing and Y is easy, then Y is less difficult than X
As Liam became a better writer, he went from using paper to a typewriter because he found using the _ to be easy.	paper	typewriter	typewriter	agree	If X generates more legible contents than Y, then X is easier to use.
Sarah remembered to save their work on the computer but Erin didn't. _ was forgetful.	Sarah	Erin	Erin	agree	If X is more forgetful then Y, then X would forget to save their work.
Celia was thinking of using toasted sesame seeds instead of raw sesame seeds in her recipe, because the _ are more flavorful.	toasted sesame seeds	raw sesame seeds	toasted sesame seeds	agree	If X is more flavorful than Y, then it is better to use X.
The boy shaved with shaving cream instead of soap because the _ gave him a cleaner shave.	shaving cream	soap	shaving cream	agree	If X works better, then the boy will use X instead of Y.
Christopher gave lessons to Michael , as _ had so much piano playing knowledge and experience.	Christopher	Michael	Christopher	agree	If X is knowledgeable, then X can give lessons to Y
The wound of the cat didn't respond to the cream, but got better with the antibiotic.  The _ was ineffective.	cream	antibiotic	cream	agree	If the wound didn't respond to X, but got better with Y, then X was ineffective.
Kevin loved to play in the band in school unlike Benjamin, because _ was in love with music.	Kevin	Benjamin	Kevin	agree	If X loved music more than Y did, then X is more likely to play in the band.
Maria has strained her knee and goes to see a doctor Natalie, because _ is hurt.	Maria	Natalie	Maria	agree	If X is a doctor, then X can help Y's knee.
Steven was more interested in planning his vacation than Justin because _ had never wanted to travel.	Steven	Justin	Justin	agree	If X doesn't like to travel, Y would be more interested in planning a vacation.
Kristen found the book more interesting than the movie because the _ was more detailed.	book	movie	book	agree	If X was more detailed than Y means that she loves to read X more
The grades of Jennifer were stellar compared to Carrie because _  always studied hard in school.	Jennifer	Carrie	Jennifer	agree	If X studies harder than Y, then X will have better grades than Y.
I used flowers to make a border for my garden instead of rocks because the _ are dull.	flowers	rocks	rocks	agree	If X is dull compared to Y, people use Y to decorate their garden.
Bob liked to treat his dandruff with professional treatments instead of shampoo, because the _ worked well.	shampoo	treatments	treatments	agree	If X is more effective than Y, then X will be used.
The credit card of Joseph was frozen, so he calls Adam at the bank because _ is a specialist.	Joseph	Adam	Adam	agree	If X is a credit card specialist, then he can help Y with his credit card.
Exercising every day suited Samantha but not Tanya because _ had a lot of discipline and willpower.	Samantha	Tanya	Samantha	agree	If exercising everyday suited X, but not Y, then X has a lot of discipline and willpower.
Derrick asked Leslie for advice on how to avoid bankruptcy, because _ is good at managing money.	Derrick	Leslie	Leslie	agree	If X is knowledgeable, then Y will ask advice from X.
Ginger wasn't happy with her exercise routine, she replaced it with kick boxing. Because the _ was trendy.	routine	kick boxing	kick boxing	agree	If Ginger wants trendy, and X is trendier than Y, then Ginger will choose X.
It was easy for Megan but not Rachel to improve their golf game because _ practiced everyday.	Megan	Rachel	Megan	agree	If X improved but Y did not, X likely practiced everyday.
Dennis was studying constantly for the test while William procrastinated, so _ did very well on the test.	Dennis	William	Dennis	agree	If X studied more than Y, then X would be expected to do better on the test.
Exercise is not something Jason likes, but Robert loves to do it. _ is a gym goer.	Jason	Robert	Robert	agree	If X goes to the gym, then X likes exercising more than Y does.
I'd rather have a bookshelf in my home than a china cabinet because I'm a big reader and the _ is more useful.	bookshelf	china cabinet	bookshelf	agree	If X is more useful than Y, then you should get X.
